CPU,IO,NW,Memory,Instances
52,29,28,32,3
21,9,3,52,1
1,28,15,60,3
1,7,8,39,1
8,44,48,7,5
44,11,17,39,4
1,8,33,5,3
39,44,41,13,1
50,10,39,26,1
7,42,58,30,3
25,56,24,5,2
4,59,27,18,5
5,25,29,38,3
50,7,13,27,5
28,50,20,11,1
30,23,23,60,1
58,8,56,14,3
7,58,35,45,1
31,7,21,33,5
34,22,22,44,4
47,16,8,40,1
24,34,41,51,2
10,57,28,20,3
18,8,37,42,5
13,42,14,18,5
15,11,30,40,4
24,48,27,15,5
10,3,40,4,4
59,47,29,30,3
9,4,39,27,1
10,7,15,12,2
10,16,29,11,1
58,30,16,43,1
53,18,59,10,5
52,49,53,53,5
52,54,52,40,3
41,50,10,19,5
11,8,45,59,4
12,20,4,34,4
32,12,48,14,1
7,7,1,33,2
43,14,30,10,3
53,50,17,56,2
3,45,29,42,3
46,33,25,20,4
10,13,9,15,1
48,7,14,39,1
38,56,54,44,2
48,48,3,19,5
38,37,13,31,4
53,6,17,11,2
32,10,47,44,5
19,11,17,51,1
15,3,8,14,3
23,56,40,52,1
52,18,19,7,3
3,6,12,33,3
49,10,5,60,1
24,2,40,35,2
1,29,33,57,1
12,10,36,4,5
6,24,42,58,1
5,9,59,51,2
27,34,51,58,2
8,28,10,47,3
41,33,20,42,1
7,60,44,51,4
8,1,56,60,3
10,36,4,25,4
59,45,22,10,2
