CPU,IO,NW,Memory,P_idle,P_max
211,118,106,234,28,72
148,132,204,225,38,62
84,231,181,111,35,65
144,163,146,98,25,75
219,148,61,56,34,66
184,92,239,84,31,69
199,53,164,81,27,73
170,182,51,194,26,74
97,96,183,68,37,63
210,177,143,245,32,68
235,181,227,112,36,64
74,157,243,237,30,70
241,82,143,177,35,65
197,167,167,158,27,73
170,111,123,139,35,65
104,231,86,91,25,75
216,114,51,219,38,62
55,101,230,153,27,73
250,189,248,156,28,72
154,183,173,211,26,74
201,181,92,159,26,74
192,78,199,203,28,72
138,157,114,239,36,64
178,105,197,122,39,61
111,242,162,150,36,64
90,151,139,235,32,68
85,139,193,163,36,64
108,222,247,203,32,68
223,237,180,106,33,67
210,84,117,94,27,73
194,60,87,225,28,72
206,192,57,106,27,73
183,132,82,54,32,68
241,230,167,91,37,63
192,130,100,63,26,74
204,63,202,56,35,65
91,148,135,118,29,71
163,52,172,50,33,67
223,179,130,99,35,65
248,140,138,210,25,75
84,240,57,199,34,66
97,194,120,161,38,62
165,232,99,170,26,74
155,167,130,127,37,63
121,167,142,116,36,64
195,170,165,162,25,75
106,117,225,188,39,61
93,81,103,204,33,67
161,91,137,169,33,67
121,114,193,141,25,75
197,185,136,106,38,62
69,65,220,118,34,66
217,84,163,167,31,69
64,228,228,135,34,66
159,64,116,73,26,74
209,115,229,249,27,73
193,75,228,223,29,71
71,190,128,211,25,75
139,131,194,83,28,72
96,83,163,119,32,68
